key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_src.src_mxs_idp_ml_abandonment_unrestricted,ML Abandonment Unrestricted,<p>ABN models provide necessary assistance to customers when they are facing the risk of abandonmen</p>,N/A,,null,,,vamudalapal;christinaf064,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_mxs_idp_ml_abandonment,ML Abandonment,"<div><p><em>ABN models are used to help our partners from product teams to proactively provide necessary assistance to customers when they are facing the risk of abandonment.</em></p><p><em><a href=""http://dlprd.cg/"" rel=""noopener noreferrer"" tabindex=""-1"" target=""_blank""><strong>dlprd.cg</strong></a><strong>_data_science.abandonment_decrypted_beacons </strong>is the new table starting from TY21. TY20 data is available for  analysis.</em></p><p><br></p></div>",N/A,,null,,,vamudalapal;christinaf064,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_efe_filing,EFE Filing,<p>This table contains metadata about Electronic File Exchange(EFE) filers keyed by filing_id.</p>,N/A,,null,,,lmahabalesh;cfu4;ppenugonda,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cgde_54522_ctg_analyst_layer_behavioral_analytics_master,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cgde_54522_ctg_analyst_layer_behavioral_analytics_master_fixed,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.jc_behavioral_analytics_master_global2,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.jc_behavioral_analytics_master_global,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.jc_test_vw,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.jc_test,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cg_taxml_xpath_payload,Taxml payload,<p>This table contains all the xpaths for a particular payload. It only has eFiles</p>,N/A,,null,,,srepaka;agarciagut,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cg_filing_taxml_payload,Table that contains all the accepted filings,"<p>CAT equivalent of form usage data. Parititioned by product family type, tax year and xpath partition</p>",N/A,,null,,,srepaka,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_tax_digital_assistant,Source Tax Digital Assistant,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.form_usage_data_ty20,Form Usage Data Type 20,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.form_usage_data_ty19,Form Usage Data Type 19,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.form_usage_data_ty18,Form Usage Data Type 18,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.suspicious_auths_20220114,Suspicious Auths 20220114,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.form_usage_data_ty17,Form Usage Data Type 17,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.suspicious_auths,Suspicious Auths,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.ecs_sm_tto_clickstream_jc,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.sub_tax_refund,Sub Tax Refund,<div><p>The table is populated by ECS Clickstream pipeline.</p><p>This table contains Federal and State refund amounts and associated data as users click through the TurboTax product. This provides a snapshot of a user's refund journey as they progress through the product. The data in this table starts from TY2019.</p></div>,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,kliu2;jju;bkonowitz,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.tto_abandonment_unmapped,Tto Abandonment Unmapped,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.ecs_sm_tto_clickstream_tmp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.ecs_watermark_tbl,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.agg_taxml_hist,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.agg_taxml_ytd_hist,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.agg_taxml_ytd_bkp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.agg_taxml_bkp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.agg_taxml_ytd_snapshot,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.agg_taxml_snapshot,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tto_freshaddress,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tto_experian,Tto Experian,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.ecs_sm_tto_clickstream,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cgde_watermark_tbl,,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.tto_abandonment_src_py,Tto Abandonment Sourc Pay,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_ttl_retail_activation,Source Total Retail Activation,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cg_filing_taxml_payload_nodup,Cannot Guarantee Filing Taxml Payload No Dup,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cg_taxml_xpath_payload_nodups,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.dim_efile_reject_code,Dim Efile Reject Code,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.fact_efile_reject_error,,<p>This table having efile_reject_error_id and descriptive rejection error information for rejected efiling ids.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.cg_filing_taxml_payload_ty19,Cannot Guarantee Filing Taxml Payload Type 19,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cg_taxml_xpath_payload_ty20,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tto_abandonment_mapping_csv,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cg_taxml_xpath_payload_ty19,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cg_filing_taxml_payload_new,Cannot Guarantee Filing Taxml Payload New,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.mc_user_agent_profile,MC User-Agent Profile,<p>TurboTax Desktop transactional Information abou the customer &amp; agent</p>,N/A,,null,,,achandeck,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.mc_safetynet_profile,MC Safetynet Profile,<p>TurboTax Desktop transactional information about the Safetynet</p>,N/A,,null,,,achandeck,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.mc_return_customer_profile,MC Return Customer Prefile,<p>TurboTax Desktop transactional information about the customer that has a filed a return(s)</p>,N/A,,null,,,achandeck,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
