key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_rpt.ctg_care_cct_interactions_vw.agent_partner_name,Agent Partner Name,"<div><p>company name of the agent, sourced from ELM.</p><p><br></p><p>REPLACE(emp.partner_name,'IBM','CONCENTRIX')</p></div>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_missed_flg,Agent Missed Flag,"<div><p>Indicates number of agent missed call events for this call; this is NOT a vetted field</p><p><br></p><table><tbody><tr></tr><tr><td>                max(case when agent_cc_missed_cnt&gt;0 then 1 else 0 end) as agent_missed_flg,</td></tr><tr><td><br></td></tr></tbody></table></div>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_login_username,Agent Login Username,<p>login_username from dim_agent. Used to join to agent_id (aka leg_agent) in our amazon connect data</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_leg_start_ts,Agent Leg Start Timestamp,<p>First leg start timestamp where leg_type='AGENT' </p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_leg_end_ts,Agent Leg End Timestamp,<p>Last leg end timestamp where leg_type='AGENT' </p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_key,Agent Key,"<div><p>agent_key from dim_agent; sourced from amazon connect  source system using logic below, to join to ELM to get more customer information.  Can join to login_username in ELM.  This is the agent key at the time of call; rather than the most recent agent information (current_row = Y).  see join below .</p><p><br></p><table><tbody><tr></tr><tr><td>                last_value(leg_agent ignore nulls) over(partition by cc_id,offer_seq order by cc_leg_num rows between unbounded preceding and unbounded following) as agent_id,</td></tr><tr><td><br><br></td></tr></tbody></table></div>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_id,Agent Id,"<div><p>Agent directory login/login username sourced from Amazon</p><p><br></p><p>last_value(leg_agent ignore nulls) over(partition by cc_id,offer_seq order by cc_leg_num rows between unbounded preceding and unbounded following) as agent_id,<br><br></p></div>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_country_served,Agent Country Served,"<p>countries_served_name from dim_agent (ELM).  Agents can handle both United States and Canada calls, but are only logged as one ""country"" in ELM- this may change as our partners deploy resources between the two countries </p>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_corp_id_str,Agent Corp Id Str,<p>corp_id_str from dim_agent</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.agent_connect_seconds,Agent Connected Seconds,<p>Seconds in talk/connect state where leg_type='AGENT'; actual time on phone/chat</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.acw_seconds,After Call Work Seconds,<p>Seconds in ACW state where leg_type='AGENT'- after call work.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cct_interactions_vw.abandoned_flg,Abandoned Flag,<p>Indicates if a call was abandoned by the customer for inbound call only</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cases_voc.site,Site,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cases_voc.product_platform,Product Platform,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cases_voc.production_date,Date Entered in System,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.ctg_care_cases_voc.preferred_name,Salesforce Preferred Name,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.ui_object_detail,UI Object Detail,<p>ECS standard property used to capture information about the UI object being acted upon</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.ui_object,UI Object,<p>ECS standard property used to capture the name of the UI object being acted on</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.ui_action,UI Action,<p>ECS standard property used to describe the action being taken in the UI</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.unemployment_tile_flag,Tile Metric - Unemployment Tile Flag,<p>Indicator for unemployment tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.tile_interaction_location,Tile Metric - Tile Interaction Location,<p>Used to differentiate catch-all tiles from product and pricing tiles.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.student_loan_tile_flag,Tile Metric - Student Loan Tile Flag,<p>Indicator for student loan tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.stocks_tile_flag,Tile Metric - Stocks Tile Flag,<p>Indicator for stocks tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.single_tile_flag,Tile Metric - Single Tile Flag,<p>Indicator for single tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.self_employed_tile_flag,Tile Metric - Self Employed Tile Flag,<p>Indicator for self employed tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.rental_property_tile_flag,Tile Metric - Rental Property Tile Flag,<p>Indicator for rental property tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.paid_rent_tile_flag,Tile Metric - Paid Rent Tile Flag,<p>Indicator for paid rent tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.own_small_business_tile_flag,Tile Metric - Own Small Business Tile Flag,<p>Indicator for owning small business tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.number_tiles_selected,Tile Metric - Number of Tiles Selected,<p>Indicator for total numbers of tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.maximize_deductions_tile_flag,Tile Metric - Maximize Deductions Tile Flag,<p>Indicator for maximize deductions tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.homeowner_tile_flag,Tile Metric - Homeowner Tile Flag,<p>Indicator for homeowner tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.have_job_tile_flag,Tile Metric - Have Job Tile Flag,<p>Indicator for having a job tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.have_children_dependents_tile_flag,Tile Metric - Have Childern Dependents Tile Flag,<p>Indicator for having childrens as dependent tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.donated_charity_tile_flag,Tile Metric - Donated Charity Tile Flag,<p>Indicator for donated charity tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.diy_tile_flag,Tile Metric - Do It Yourself Tile Flag,<p>Indicator for Do It Yourself tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.diwm_tile_flag,Tile Metric - Do It With Me Tile Flag,<p>Indicator for Do It With Me tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.difm_tile_flag,Tile Metric - Do It For Me Tile Flag,<p>Indicator for Do It For Me tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.crypto_tile_flag,Tile Metric - Crypto Tile Flag,<p>Indicator for crypto tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.any_tile_selection_flag,Tile Metric - Any Tile selection Flag,<p>Indicator for any tile selected</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.screen_object_state,Screen Object State,"<p>ECS clickstream property used to capture information about the current screen or page, for example, the content of form fields</p>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.screen,Screen,<p>ECS standard property used to capture the name of the current page or screen</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.scope_area,Scope Area,<p>ECS standard property used to capture the name of a section of the site</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.pseudonym_id,Pseudonym ID,<p>Pseudonym Identify - 1-to-1 mapping with Intuit's Auth ID</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.platform,Platform,"<p>ECS standard property used to capture the platform of the visitor's device - typically one of: ios, android, or web</p>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.object_detail,Object Detail,<p>ECS standard property used to capture additional information about the object being acted upon in the clickstream event</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.object,Object,<p>ECS standard property referring to the object being acted on.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.full_service_pre_call_detach_flag,Full Service Pre Call Detach Flag,<p>Indicator for Full Service pre call detachment</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.full_service_call_handled_flag,Full Service Call Handled Flag,<p>Indicator for Full Service for Call Handled</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.full_service_call_engaged_detach_flag,Full Service Call Engaged Detach Flag,<p>Indicator for Full Service for call engaged and detached</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.full_service_call_confirmation_flag,Full Service Call Confirmation Flag,<p>Indicator for Full Service for Call confirmed</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.event_ts,Event Timestmp,<p>Event timestamp for the clickstream event.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_auth.action,Action,<p>ECS standard property used to describe the action being taken by the visitor</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.nlac_customer_behavior_detailed.stimulus_filer_flag,,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.nlac_customer_behavior_detailed.product_rollup_subcategory,Product Rollup Subcategory,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.nlac_customer_retention_levers.stimulus_filer_flag,Stimulus filer flag,"<p>Indicates if a customer is a stimulus filer, otherwise marked as 0</p>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.rpt_care_cct_interactions.engagement_id,Engagement ID,<p>Engagement ID for SFDC Casenumber</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.marketing_analytics.starts,Starts,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.channel,Channel,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.cid,Cid,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.tax_date,Tax Date,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.session_auth_type,Session Auth Type,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.neauth_fcst,Neauth Forecast,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.neauths,Neauths,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.total_ltv,Total Latvia,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.sessions,Sessions,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.post_complete_session_flag,Post Complete Session Flag,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.traffic,Traffic,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.platform_type,Platform Type,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.rpt_ctg_care_case.engagement_id,Engagement Identify,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.vauths,,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.false_visit,False Visit,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.tax_year,Tax Year,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.primary_filer_latino_flag,Primary Filer Latino Flag,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.unit_fcst,Unit Forecast,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.page_group,Page Group,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.tto_segment_hybrid,Tto Segment Hybrid,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.ytd_flag,,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.installs,Installs,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.product,Product,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.first_session_flag,First Session Flag,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.total_revenue,Total Revenue,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.customer_type,Customer Type,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.product_rollup,Product Rollup,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.channel_group,Channel Group,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.completes,Completes,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.app_type,App Type,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.amp_flag,Amp Flag,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.new_existing,New Existing,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.core_flag_ytd,,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.remove_multidevice_flag_ytd,,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.date,Date,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.marketing_analytics.device_type,Device Type,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.agg_clickstream_ivid_last_event.dwh_update_datetime,Update Timestamp,<p>System time of last updating this IVID record.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.agg_clickstream_ivid_last_event.ui_object_detail,UI Object Detail,<p>ECS standard property used to capture information about the UI object being acted upon</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.agg_clickstream_ivid_last_event.screen,Screen,<p>ECS standard property used to capture the name of the current page or screen</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.agg_clickstream_ivid_last_event.screen_object_state,Screen Object State,"<p>ECS clickstream property used to capture information about the current screen or page, for example, the content of form fields</p>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.agg_clickstream_ivid_last_event.pseudonym_id,pseudonym_id,<p>Pseudonym Identify - 1-to-1 mapping with Intuit's Auth ID</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.ui_action,UI Action,<p>ECS standard property used to describe the action being taken in the UI</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.tile_interaction_location,Tile Interaction Location,<p>Used to differentiate catch-all tiles from product and pricing tiles.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.taxtool_nextstepaction,taxtool_nextstepaction,"<p>A binary indicator that specifies if a visitor took a major next-step-action on a TaxTool or not. Read more tax articles, get started on a new tax tool, moved to PnP pages, and signed into product are considered major next step actions. TaxTool completes are currently only measured on W4 Calc and TaxCaster.</p>",N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.taxtool_completes,taxtool_completes,<p>A binary indicator that specifies if a visitor completed on a TaxTool (reached a summary screen) or not. TaxTool completes are currently only measured on W4 Calc and TaxCaster.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.taxtool_starts,taxtool_starts,<p>A binary indicator that specifies if a visitor started on a TaxTool (reached the second section) or not. TaxTool starts are currently only measured on W4 Calc and TaxCaster.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.student_loan_tile_flag,Student Loan Tile Flag,<p>An indicator for when the student loan tile was selected.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.have_children_dependents_tile_flag,Have Children Dependent Tile Flag,<p>An indicator for when the children dependents tile was selected.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.first_vauth_date,First Vauth Date,<p>Timestamp of the first authentication for an auth_id.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.first_start_datetime,First Start Date Time,<p>Timestamp of this customer's first filing start of the tax year.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.event_ts,Event Timestamp,<p>Event timestamp for the clickstream event.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.donated_charity_tile_flag,Donated Charity Tile Flag,<p>An indicator for when the Donated Charity tile was selected.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.diy_tile_flag,Do It Yourself Tile Flag,<p>An indicator for when the DIY tile was selected.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.crypto_tile_flag,Crypto Tile Flag,<p>An indicator for when the crypto tile was selected.</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.num_mindbender_attach_nbr,Number Mindbender Attach Number,<p>the number of plus bundles a customer attached</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.help_system_users_ind,Help System Users Indicator,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.ml_model_response_season,Machine Learning Model Response Season,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.total_refund_transfer_revenue_amt,Total Refund Transfer Revenue Amount,<p>The total amout a customer paid for refund transfer</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.rpt_testing_analytics_master_visitor.posts_ind,Posts Indicator,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.ttl_agg_auth_master.first_ttl_sku,First Total SKU,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.ttl_agg_auth_master.first_ttl_sku_id,First Total SKU Identify,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.ttl_agg_auth_master.start_sku,Start SKU,<p>The first SKU or Product</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.ttl_agg_auth_master.ttl_reporting_date_adj,Total Reporting Date Adj,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.ttl_agg_auth_master.core_flag,Core Flag,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.ttl_agg_auth_master.rn,Row Number,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,sensitive,N/A,N/A,N/A
tax_rpt.retention_analytics_master_ytd.customer_type,Customer Type,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.retention_analytics_master_ytd.customer_type_rollup,Customer Type Rollup,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.retention_analytics_master_ytd.completed_sku,Completed Sku,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.retention_analytics_master_ytd.start_sku_rollup,Start Sku Rollup,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.retention_analytics_master_ytd.tax_day_nextyear,Tax Day Next Year,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.retention_analytics_master_ytd.first_neauth_date_nextyear,First Neauth Date Next Year,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
tax_rpt.retention_analytics_master_ytd.total_revenue_nextyear,Total Revenue Next Year,,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,,N/A,N/A,N/A
