key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_rpt.ctg_care_case_auth_entitlement,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ctg_care_cases_voc,Care cases Voice Of Customer,"<p>This table contains the metrics related to care cases, agents and the agent status(Active, Terminated, In Training,Nesting). Refer https://wiki.intuit.com/x/xAbJL  for details on how this table is populated</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,mchagnon,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ctg_care_cct_interactions_vw,,"<div><p>ININ and Amazon Connect calls/interactions with agent and skill attributes; each record represents one offered count</p><p><br></p><p>view version- <a href=""https://github.intuit.com/TechnicalAnalysts/etl_runtime/blob/master/etl_runtime/prod_sqls/analyst_layer/ctg_care_cct_interactions_vw.sql"">https://github.intuit.com/TechnicalAnalysts/etl_runtime/blob/master/etl_runtime/prod_sqls/analyst_layer/ctg_care_cct_interactions_vw.sql</a></p><p>table version <a href=""https://github.intuit.com/TechnicalAnalysts/etl_runtime/blob/master/etl_runtime/prod_sqls/analyst_layer/ctg_care_cct_interactions.sql"">https://github.intuit.com/TechnicalAnalysts/etl_runtime/blob/master/etl_runtime/prod_sqls/analyst_layer/ctg_care_cct_interactions.sql</a></p><p><br></p><p><br></p></div>",N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.entitlement_windows,Entitlement Windows,<p>This table is part of the ttl daily activity pipeline</p>,N/A,,null,,,rkulkarni;pleslie1;aakolkar;lperry4,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.exec_dashboard_metric_values,exec_dashboard_metric_values,<p>This table stores the dimensions and aggregated metrics used in the Executive Dashboards.</p>,N/A,,null,,,mgalaviz;akulkarni8,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.fact_case_level_call_transfer_metric,Fact Case Level Call Transfer Metric,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.fi_mktg,Fi Marketing Table,<p>Fi Marketing Table</p>,N/A,,null,,,ssinha13,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.finance_analytics_report,Finance Analytics Report,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.kannan_cgde_48801,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_analytics,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_analytics_master,Marketing Analytics Master,<p>Auth ID level table that assign marketing related attributes.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,rjohn1,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_analytics_master_parity,Marketing Analytics Master Parity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_analytics_master_tax_rpt,,<p>Auth ID level table that assign marketing related attributes.</p>,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.marketing_session_analytics_master,Marketing Session Analytics Master,"<p>Marketing session analytics master (MSAM) contains one row per visitor per session and contains rolled-up information about the session including platform, entry page, marketing channel, # of pages viewed, experiments viewed, AAM segment membership, and more.</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,rpal,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_session_analytics_master_parity,Marketing Session Analytics Master Parity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_session_analytics_master_tax_rpt,,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.marketing_visitor_analytics_master,Marketing Visitor Analytics Master,<p>It holds visitor information(first visit related information) for a given tax year. Visitor_id and tax_year forms the unique attribute for table.</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.marketing_visitor_analytics_master_parity,Marketing Visitor Analytics Master Parity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.monetization_analytics_master,Monetization Analytics Master,<p>Aggregate table related to monetization and sku selection</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,ayenneti;gnarayana,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.monetization_analytics_master_bkp,Monetization Analytics Master Backup,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.monetization_analytics_master_snapshot,Monetization Analytics Master Snapshot,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.monetization_analytics_master_tax_rpt,,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.monetization_analytics_master_ytd,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.monetization_analytics_master_ytd_vw,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.nlac_customer_behavior_detailed,Customer Retention Levers,"<p>Customer Behaviour Detailed table contains customers from TY16 to current tax year classified into various cohorts such as Winbacks, Completes, Incompletes etc. This table also captures various attributes from RAM (Retention Analytics Master), PAM (Product Analytics Master) and Customer retention levers table</p>",N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.nlac_customer_retention_levers,Customer Retention Levers,"<p>Customer Retention levers contains attributes about the customer which covers various attributes such as life events, refund errors etc.</p>",N/A,,null,,,vamudalapal,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.postcard_schedules_taxml_analytics_master,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.postcard_schedules_taxml_analytics_master_bkp,Postcard Schedules Taxml Analytics Master Backup,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.postcard_schedules_taxml_analytics_master_hist,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
